startcong,district,statename,pop_density
61,11,Missouri,85716313.57230473
62,10,Missouri,1402732.4165617973
62,12,Missouri,118760135.10500984
62,13,Missouri,122995.6595392575
62,14,Missouri,79582.26022336072
62,15,Missouri,176782.24427843458
62,16,Missouri,101784.03571961209
62,1,Missouri,153829.03491656386
62,2,Missouri,162608.3753362563
62,3,Missouri,165750.47957238264
62,4,Missouri,248778.40104025626
62,5,Missouri,1299631.692384856
62,6,Missouri,167726.4708885178
62,7,Missouri,160098.68083834604
62,8,Missouri,174772.7867160192
62,9,Missouri,125728.84651566115
62,11,Missouri,88911375.18883012
63,10,Missouri,1452975.7114115332
